제품코드,수량,송장번호
A103,4,10003b1170514
A103,3,10001a3170515
A103,3,10002c4170515
A103,3,10003c1170515
A103,7,10001a3170518
A103,7,10002a4170518
A103,1,10003a1170518
A103,3,10001b3170519
A103,2,10002b4170519
A103,1,10003b1170519
A103,5,10001a3170520
A103,5,10002b4170520
A103,1,10003b1170520
A103,2,10001a3170522
A103,2,10002b4170522
A103,7,10003b1170522
A103,3,10001c3170523
A103,4,10002a4170523
A103,3,10003a2170523
A103,3,10001c3170525
A103,7,10002c4170525
A103,7,10003c2170525
A103,1,10001b3170526
A103,2,10002c4170526
A103,3,10003c2170526
A103,2,10001a3170528
A103,1,10002b4170528
A103,2,10003b2170528
A103,2,10001c3170530
A103,4,10002a4170530
A103,3,10003a2170530
A103,1,10001b3170531
A103,1,10002a4170531
A103,7,10003a2170531
A103,2,10001a2170601
A103,3,10002a2170601
A103,3,10003a1170601
A103,2,10001b2170602
A103,7,10002c2170602
A103,6,10003a1170602
A103,3,10001a2170605
A103,3,10002c2170605
A103,2,10003c1170605
A103,5,10001a1170607
A103,5,10002b2170607
A103,3,10003c1170607
A103,2,10001a1170608
A103,5,10002a2170608
A103,2,10003b1170608
A103,5,10001c1170610
A103,5,10002c2170610
A103,2,10003a1170610
A103,5,10001c1170611
A103,2,10002b2170611
A103,2,10003c1170611
A103,3,10001b1170612
A103,2,10002a2170612
A103,4,10003b1170612
A103,5,10001a1170613
A103,3,10002b2170613
A103,3,10003a1170613
A103,3,10001a1170615
A103,3,10002c2170615
A103,3,10003b1170615
A103,4,10001b1170617
A103,3,10002a2170617
A103,4,10003c1170617
A103,2,10001a1170618
A103,4,10002b2170618
A103,7,10003a1170618
A103,3,10001a1170620
A103,6,10002b2170620
A103,4,10003b2170620
A103,4,10001c1170621
A103,4,10002b2170621
A103,3,10003b2170621
A103,4,10001c1170622
A103,4,10002a2170622
A103,3,10003b2170622
A103,2,10001b1170624
A103,3,10002c2170624
A103,4,10003a2170624
A103,1,10001a1170625
A103,1,10002c2170625
A103,3,10003c2170625
A103,1,10001c1170627
A103,4,10002b1170627
A103,4,10003c2170627
A103,3,10001b2170629
A103,3,10002a1170629
A103,6,10003b2170629
A103,3,10001a2170630
A103,5,10002a1170630
A103,2,10003a2170630
A103,3,10001b2170701
A103,7,10002a3170701
A103,4,10003a3170701
A103,5,10001a2170703
A103,2,10002c3170703
A103,3,10003a3170703
A103,4,10001a2170705
A103,3,10002c3170705
A103,3,10003a3170705
A103,7,10001a2170706
A103,3,10002b3170706
A103,2,10003c3170706
A103,3,10001c2170707
A103,3,10002a3170707
A103,3,10003c4170707
A103,4,10001c2170709
A103,8,10002c3170709
A103,5,10003b4170709
A103,7,10001b2170711
A103,3,10002b3170711
A103,2,10003a4170711
A103,1,10001a2170712
A103,2,10002a3170712
A103,7,10003c4170712
A103,4,10001a2170713
A103,2,10002b3170713
A103,1,10003b4170713
A103,7,10001b2170714
A103,8,10002c3170714
A103,4,10003a4170714
A103,2,10001a2170717
A103,1,10002a3170717
A103,7,10003b4170717
A103,2,10001a2170718
A103,3,10002b3170718
A103,4,10003c4170718
A103,1,10001c2170719
A103,2,10002b3170719
A103,3,10003a4170719
A103,7,10001c2170721
A103,7,10002b3170721
A103,4,10003b4170721
A103,2,10001b2170725
A103,3,10002a3170725
A103,7,10003b4170725
A103,2,10001a2170726
A103,5,10002c3170726
A103,2,10003b4170726
A103,6,10001c2170728
A103,2,10002c3170728
A103,1,10003a4170728
A103,5,10001b3170730
A103,4,10002b3170730
A103,4,10003c4170730
A103,2,10001a3170731
A103,3,10002a3170731
A103,7,10003c4170731
A103,4,10001b4170801
A103,4,10002a2170801
A103,7,10003a3170801
A103,6,10001a4170802
A103,3,10002b2170802
A103,3,10003c3170802
A103,2,10001b4170803
A103,3,10002b2170803
A103,4,10003c3170803
A103,6,10001a4170804
A103,1,10002b2170804
A103,2,10003b3170804
A103,4,10001a4170805
A103,3,10002a2170805
A103,3,10003a3170805
A103,1,10001a1170806
A103,4,10002c2170806
A103,3,10003a3170806
A103,3,10001c1170807
A103,2,10002c2170807
A103,4,10003a3170807
A103,2,10001c1170808
A103,1,10002b2170808
A103,2,10003c3170808
A103,2,10001b1170809
A103,3,10002a2170809
A103,3,10003c4170809
A103,6,10001a1170810
A103,1,10002a2170810
A103,3,10003c4170810
A103,2,10001a1170811
A103,1,10002a2170811
A103,2,10003b4170811
A103,2,10001b1170812
A103,4,10002a2170812
A103,3,10003a4170812
A103,5,10001a1170813
A103,1,10002c2170813
A103,3,10003b4170813
A103,1,10001a1170814
A103,3,10002c2170814
A103,3,10003b4170814
A103,5,10001c1170815
A103,2,10002b3170815
A103,5,10003a4170815
A103,7,10001c1170816
A103,2,10002a3170816
A103,5,10003c4170816
A103,5,10001b1170817
A103,7,10002c3170817
A103,2,10003c4170817
A103,5,10001a1170818
A103,4,10002b3170818
A103,7,10003b4170818
A103,2,10001c1170819
A103,1,10002a3170819
A103,3,10003a4170819
A103,4,10001b1170820
A103,7,10002b3170820
A103,4,10003a4170820
A103,3,10001a2170821
A103,2,10002c3170821
A103,4,10003a4170821
A103,3,10001a2170822
A103,4,10002a3170822
A103,3,10003c4170822
A103,2,10001c2170823
A103,6,10002b3170823
A103,4,10003c4170823
A103,1,10001c2170824
A103,3,10002b3170824
A103,1,10003b4170824
A103,4,10001b2170825
A103,1,10002b3170825
A103,2,10003a4170825
A103,5,10001a2170826
A103,1,10002a3170826
A103,3,10003a4170826
A103,3,10001c2170827
A103,2,10002c3170827
A103,4,10003b4170827
A103,4,10001b2170828
A103,2,10002c3170828
A103,3,10003a4170828
A103,4,10001a2170829
A103,1,10002b3170829
A103,4,10003c3170829
A103,3,10001b2170830
A103,1,10002b3170830
A103,5,10003c3170830
A103,6,10001c2170831
A103,3,10002b3170831
A103,4,10003b3170831
A103,7,10001a3170901
A103,3,10002a4170901
A103,2,10003c2170901
A103,1,10001c3170902
A103,3,10002a4170902
A103,1,10003b2170902
A103,7,10001b3170903
A103,2,10002b1170903
A103,3,10003a2170903
A103,4,10001a3170904
A103,1,10002a1170904
A103,7,10003a2170904
A103,8,10001a3170905
A103,3,10002a1170905
A103,4,10003a2170905
A103,1,10001a3170906
A103,2,10002c1170906
A103,7,10003c2170906
A103,2,10001c3170907
A103,2,10002c1170907
A103,1,10003c2170907
A103,3,10001c3170908
A103,2,10002b1170908
A103,5,10003c2170908
A103,2,10001c3170909
A103,5,10002a1170909
A103,5,10003b2170909
A103,2,10001c3170910
A103,5,10002c1170910
A103,2,10003a2170910
A103,2,10001b3170911
A103,3,10002b1170911
A103,2,10003b2170911
A103,1,10001a3170912
A103,2,10002a1170912
A103,5,10003b2170912
A103,1,10001b4170913
A103,2,10002b1170913
A103,1,10003a3170913
A104,4,10001b4170914
A104,4,10002c1170914
A104,2,10003c3170914
A104,3,10001a4170915
A104,2,10002a1170915
A104,2,10003c3170915
A104,2,10001a4170916
A104,3,10002b1170916
A104,2,10003b3170916
A104,1,10001c4170917
A104,4,10002b1170917
A104,7,10003a3170917
A104,2,10001c4170918
A104,2,10002b2170918
A104,4,10003a3170918
A104,2,10001b4170919
A104,3,10002a2170919
A104,1,10003a3170919
A104,4,10001a4170920
A104,3,10002c2170920
A104,5,10003c3170920
A104,1,10001c4170921
A104,4,10002c2170921
A104,4,10003c3170921
A104,5,10001b4170922
A104,2,10002b2170922
A104,3,10003b3170922
A104,2,10001a4170923
A104,2,10002a2170923
A104,1,10003b3170923
A104,4,10001b4170924
A104,7,10002a2170924
A104,2,10003a3170924
A104,4,10001a4170925
A104,2,10002a2170925
A104,3,10003c3170925
A104,7,10001a4170926
A104,3,10002c2170926
A104,3,10003c3170926
A104,6,10001a4170927
A104,4,10002b2170927
A104,7,10003b3170927
A104,1,10001c4170928
A104,9,10002b2170928
A104,3,10003a3170928
A104,5,10001c4170929
A104,2,10002a2170929
A104,4,10003a3170929
A104,4,10001b4170930
A104,3,10002c2170930
A104,1,10003a3170930
A104,3,10001c3171001
A104,6,10002c1171001
A104,2,10003a1171001
A104,4,10001c3171002
A104,2,10002c1171002
A104,1,10003c1171002
A104,1,10001c3171003
A104,4,10002c1171003
A104,1,10003b2171003
A104,2,10001b3171004
A104,3,10002b1171004
A104,3,10003a2171004
A104,2,10001a4171005
A104,3,10002a1171005
A104,2,10003b2171005
A104,2,10001b4171006
A104,4,10002b1171006
A104,4,10003c2171006
A104,1,10001b4171007
A104,3,10002b1171007
A104,1,10003a2171007
A104,1,10001a4171008
A104,3,10002a1171008
A104,2,10003b2171008
A104,3,10001c4171009
A104,1,10002a1171009
A104,2,10003b2171009
A104,2,10001c4171010
A104,5,10002c2171010
A104,3,10003b2171010
A104,4,10001b4171011
A104,4,10002c2171011
A104,5,10003a2171011
A104,3,10001a4171012
A104,3,10002b2171012
A104,1,10003c2171012
A104,5,10001a4171013
A104,9,10002a2171013
A104,4,10003c2171013
A104,2,10001a4171014
A104,1,10002c2171014
A104,4,10003b2171014
A104,2,10001c4171015
A104,8,10002b2171015
A104,7,10003a2171015
A104,3,10001c4171016
A104,1,10002a2171016
A104,2,10003a2171016
A104,4,10001b4171017
A104,3,10002b2171017
A104,3,10003a2171017
A104,7,10001a4171018
A104,3,10002a2171018
A104,4,10003c2171018
A104,1,10001a4171019
A104,2,10002a1171019
A104,1,10003b2171019
A104,7,10001b4171020
A104,3,10002a1171020
A104,7,10003b2171020
A104,1,10001a4171021
A104,2,10002c1171021
A104,2,10003a2171021
A104,2,10001c4171022
A104,3,10002c1171022
A104,2,10003c1171022
A104,4,10001c4171023
A104,5,10002b1171023
A104,3,10003c1171023
A104,5,10001b4171024
A104,1,10002a1171024
A104,2,10003b1171024
A104,4,10001a4171025
A104,2,10002a1171025
A104,3,10003a1171025
A104,2,10001c4171026
A104,6,10002b1171026
A104,1,10003a1171026
A104,4,10001b4171027
A104,5,10002a1171027
A104,4,10003a1171027
A104,2,10001a4171028
A104,7,10002a1171028
A104,3,10003c1171028
A104,1,10001a4171029
A104,2,10002c1171029
A104,4,10003c1171029
A104,5,10001a1171030
A104,3,10002c1171030
A104,5,10003c1171030
A104,3,10001c1171031
A104,7,10002b1171031
A104,5,10003b1171031
A104,2,10001a1171101
A104,3,10002c3171101
A104,2,10003a4171101
A104,6,10001b1171102
A104,1,10002b3171102
A104,5,10003c4171102
A104,4,10001b1171103
A104,3,10002a3171103
A104,5,10003c4171103
A104,2,10001a1171104
A104,3,10002a3171104
A104,2,10003b4171104
A104,5,10001c1171105
A104,2,10002a3171105
A104,3,10003a4171105
A104,3,10001c2171106
A104,5,10002c3171106
A104,3,10003c4171106
A104,7,10001b2171107
A104,5,10002c3171107
A104,5,10003b4171107
A104,7,10001a2171108
A104,3,10002b3171108
A104,5,10003a4171108
A104,2,10001a2171109
A104,1,10002a3171109
A104,1,10003b4171109
A104,2,10001a2171110
A104,2,10002a3171110
A104,2,10003a4171110
A104,2,10001c2171111
A104,3,10002b3171111
A104,4,10003a4171111
A104,5,10001c2171112
A104,4,10002a3171112
A104,4,10003a4171112
A104,3,10001b2171113
A104,3,10002c3171113
A104,4,10003c4171113
A104,8,10001b2171114
A104,6,10002c3171114
A104,4,10003c4171114
A104,3,10001a2171115
A104,3,10002b3171115
A104,7,10003b4171115
A104,2,10001c2171116
A104,4,10002a3171116
A104,2,10003a1171116
A104,2,10001c2171117
A104,3,10002c3171117
A104,3,10003a1171117
A104,6,10001b2171118
A104,5,10002b3171118
A104,1,10003b1171118
A104,4,10001a2171119
A104,4,10002a3171119
A104,5,10003a1171119
A104,2,10001a2171120
A104,1,10002a3171120
A104,3,10003a1171120
A104,2,10001a2171121
A104,1,10002a3171121
A104,4,10003c1171121
A104,1,10001c2171122
A104,5,10002c3171122
A104,4,10003c1171122
A104,3,10001c2171123
A104,5,10002c3171123
A104,4,10003b1171123
A104,4,10001c2171124
A104,2,10002c3171124
A104,4,10003a1171124
A104,3,10001b2171125
A104,4,10002c3171125
A104,3,10003c1171125
A104,3,10001a2171126
A104,2,10002b4171126
A104,2,10003b1171126
A104,3,10001b2171127
A104,3,10002a4171127
A104,3,10003a1171127
A104,3,10001b2171128
A104,2,10002b4171128
A104,2,10003b1171128
A104,3,10001a2171129
A104,4,10002b4171129
A104,3,10003c1171129
A104,1,10001c2171130
A104,3,10002a4171130
A104,8,10003a1171130
A104,3,10001b2171201
A104,2,10002a3171201
A104,4,10003c4171201
A104,3,10001b2171202
A104,6,10002a3171202
A104,1,10003b4171202
A104,3,10001b2171203
A104,2,10002a3171203
A104,3,10003a4171203
A104,3,10001a2171204
A104,4,10002c3171204
A104,6,10003b4171204
A104,3,10001c2171205
A104,4,10002c3171205
A104,4,10003b4171205
A104,4,10001c2171206
A104,3,10002a3171206
A104,3,10003a4171206
A104,1,10001b2171207
A104,3,10002b3171207
A104,7,10003c4171207
A104,7,10001a2171208
A104,2,10002c3171208
A104,2,10003c4171208
A104,2,10001a2171209
A104,5,10002a3171209
A104,2,10003b3171209
A104,7,10001a2171210
A104,9,10002b3171210
A104,5,10003a3171210
A104,3,10001c2171211
A104,3,10002b3171211
A104,1,10003a3171211
A104,5,10001b2171212
A104,4,10002b3171212
A104,4,10003a3171212
A104,3,10001b2171213
A104,3,10002a3171213
A104,4,10003c3171213
A104,2,10001a2171214
A104,8,10002c3171214
A104,7,10003c3171214
A104,2,10001c2171215
A104,7,10002c3171215
A104,3,10003b3171215
A104,2,10001c2171216
A104,3,10002b3171216
A104,3,10003a3171216
A104,7,10001b2171217
A104,3,10002a3171217
A104,6,10003a3171217
A104,3,10001a2171218
A104,1,10002a3171218
A104,5,10003b3171218
A104,9,10001a2171219
A104,4,10002a3171219
A104,2,10003a3171219
A104,1,10001a2171220
A104,4,10002c4171220
A104,4,10003c3171220
A104,3,10001c2171221
A104,3,10002b4171221
A104,3,10003c3171221
A104,3,10001c2171222
A104,7,10002b4171222
A104,4,10003b3171222
A104,7,10001c2171223
A104,3,10002a4171223
A104,2,10003a3171223
A104,4,10001b2171224
A104,3,10002c4171224
A104,2,10003c4171224
A104,3,10001a2171225
A104,4,10002c4171225
A104,3,10003b4171225
A104,9,10001b3171226
A104,4,10002b4171226
A104,2,10003a4171226
A104,4,10001b3171227
A104,3,10002a4171227
A104,7,10003a4171227
A104,1,10001a3171228
A104,1,10002a4171228
A104,7,10003a4171228
A104,3,10001c3171229
A104,4,10002a4171229
A104,2,10003c4171229
A104,3,10001c3171230
A104,2,10002c4171230
A104,6,10003c4171230
A104,1,10001b3171231
A104,5,10002c4171231
A104,4,10003c4171231
A104,3,10001c4180101
A104,2,10002b2180101
A104,2,10003b3180101
A104,7,10001b4180102
A104,2,10002a2180102
A104,1,10003a3180102
A104,5,10001a4180103
A104,2,10002b2180103
A104,4,10003c3180103
A104,3,10001b4180104
A104,5,10002c2180104
A104,5,10003c3180104
A104,2,10001b4180105
A104,2,10002a2180105
A104,1,10003b3180105
A104,2,10001a4180106
A104,2,10002b2180106
A104,2,10003a3180106
A104,3,10001a4180107
A104,7,10002b2180107
A104,7,10003a3180107
A104,1,10001c4180108
A104,4,10002b2180108
A104,2,10003a3180108
A104,7,10001c4180109
A104,1,10002a2180109
A104,4,10003c3180109
A104,3,10001b4180110
A104,2,10002c2180110
A104,2,10003c3180110
A104,4,10001a4180111
A104,5,10002c2180111
A104,5,10003b3180111
A104,1,10001c4180112
A104,2,10002b2180112
A104,5,10003a3180112
A104,5,10001b1180113
A104,3,10002a2180113
A104,1,10003a4180113
A104,5,10001a1180114
A104,2,10002a2180114
A104,4,10003b4180114
A104,4,10001b1180115
A104,2,10002a2180115
A104,5,10003a4180115
A104,4,10001a1180116
A104,6,10002c2180116
A104,3,10003c4180116
A104,3,10001a1180117
A104,2,10002b2180117
A104,3,10003c4180117
A104,3,10001a1180118
A104,7,10002b2180118
A104,4,10003b4180118
A104,2,10001c1180119
A104,3,10002a2180119
A104,5,10003a4180119
A104,2,10001c1180120
A104,3,10002c2180120
A104,1,10003c4180120
A104,2,10001b1180121
A104,2,10002c2180121
A104,3,10003b4180121
A104,1,10001a1180122
A104,7,10002b3180122
A104,3,10003a4180122
A104,8,10001a1180123
A104,3,10002a3180123
A104,2,10003a4180123
A104,7,10001b1180124
A104,2,10002a3180124
A104,2,10003a4180124
A104,5,10001a1180125
A104,2,10002a3180125
A104,7,10003c4180125
A104,9,10001a1180126
A104,5,10002c3180126
A104,3,10003c4180126
A104,7,10001c1180127
A104,7,10002c3180127
A104,2,10003c4180127
A104,4,10001c2180128
A104,2,10002c3180128
A104,3,10003c4180128
A104,5,10001b2180129
A104,7,10002b3180129
A104,5,10003b4180129
A104,1,10001a2180130
A104,4,10002a3180130
A104,3,10003a4180130
A104,1,10001c2180131
A104,1,10002b3180131
A104,2,10003b4180131
A104,2,10001b4180201
A104,2,10002a1180201
A104,2,10003a2180201
A104,3,10001a4180202
A104,4,10002b1180202
A104,5,10003b2180202
A104,4,10001a4180203
A104,4,10002c1180203
A104,3,10003b2180203
A104,3,10001c4180204
A104,3,10002a1180204
A104,6,10003a2180204
A104,4,10001c4180205
A104,5,10002b1180205
A104,4,10003c1180205
A104,3,10001b4180206
A104,2,10002b1180206
A104,6,10003c1180206
A105,5,10001a1180207
A105,1,10002b1180207
A105,3,10003b1180207
A105,5,10001c1180208
A105,3,10002a1180208
A105,4,10003a1180208
A105,5,10001b1180209
A105,2,10002c1180209
A105,2,10003a1180209
A105,2,10001a1180210
A105,2,10002c1180210
A105,2,10003a1180210
A105,2,10001b1180211
A105,5,10002b1180211
A105,5,10003c1180211
A105,7,10001a1180212
A105,4,10002a1180212
A105,1,10003c1180212
A105,2,10001a1180213
A105,7,10002a1180213
A105,1,10003b1180213
A105,4,10001a1180214
A105,7,10002a2180214
A105,2,10003a1180214
A105,3,10001c1180215
A105,3,10002c2180215
A105,2,10003a1180215
A105,5,10001c1180216
A105,2,10002b2180216
A105,1,10003b2180216
A105,1,10001b1180217
A105,2,10002b2180217
A105,5,10003a2180217
A105,1,10001a2180218
A105,7,10002a2180218
A105,5,10003c2180218
A105,7,10001a2180219
A105,4,10002c2180219
A105,1,10003c2180219
A105,3,10001b2180220
A105,3,10002c2180220
A105,2,10003b2180220
A105,4,10001a2180221
A105,7,10002b2180221
A105,7,10003a2180221
A105,4,10001a2180222
A105,2,10002a2180222
A105,5,10003c2180222
A105,2,10001c2180223
A105,7,10002a2180223
A105,2,10003b2180223
A105,4,10001c2180224
A105,5,10002a2180224
A105,3,10003a2180224
A105,2,10001b2180225
A105,2,10002c2180225
A105,4,10003a2180225
A105,5,10001a2180226
A105,4,10002c2180226
A105,5,10003a2180226
A105,6,10001c1180227
A105,4,10002c2180227
A105,5,10003c2180227
A105,2,10001b1180228
A105,2,10002b2180228
A105,4,10003c2180228
A105,9,10001c2180301
A105,1,10002c3180301
A105,5,10003a3180301
A105,3,10001c2180302
A105,7,10002b3180302
A105,2,10003b3180302
A105,3,10001b2180303
A105,7,10002a3180303
A105,1,10003c3180303
A105,3,10001a2180304
A105,3,10002a3180304
A105,3,10003a3180304
A105,2,10001b2180305
A105,5,10002c3180305
A105,3,10003b3180305
A105,3,10001b2180306
A105,2,10002c3180306
A105,1,10003b3180306
A105,3,10001a2180307
A105,5,10002b4180307
A105,3,10003b3180307
A105,5,10001a2180308
A105,1,10002a4180308
A105,1,10003a3180308
A105,6,10001c2180309
A105,3,10002c4180309
A105,7,10003c3180309
A105,4,10001c2180310
A105,2,10002b4180310
A105,2,10003c3180310
A105,9,10001b2180311
A105,2,10002a4180311
A105,6,10003b4180311
A105,4,10001a2180312
A105,2,10002b4180312
A105,2,10003a4180312
A105,2,10001c3180313
A105,3,10002c4180313
A105,4,10003a4180313
A105,3,10001b3180314
A105,1,10002a4180314
A105,1,10003a4180314
A105,7,10001a3180315
A105,1,10002b4180315
A105,3,10003b4180315
A105,5,10001b3180316
A105,1,10002b4180316
A105,2,10003a4180316
A105,3,10001a3180317
A105,2,10002b4180317
A105,3,10003a4180317
A105,3,10001a3180318
A105,1,10002a4180318
A105,4,10003a4180318
A105,5,10001a3180319
A105,2,10002c4180319
A105,4,10003c4180319
A105,4,10001c3180320
A105,3,10002c4180320
A105,2,10003c4180320
A105,4,10001c3180321
A105,4,10002b4180321
A105,3,10003b4180321
A105,3,10001b3180322
A105,5,10002a4180322
A105,2,10003a4180322
A105,2,10001a3180323
A105,3,10002a4180323
A105,4,10003a4180323
A105,7,10001a3180324
A105,5,10002a4180324
A105,1,10003b4180324
A105,1,10001b3180325
A105,6,10002a4180325
A105,3,10003a4180325
A105,5,10001a3180326
A105,3,10002c4180326
A105,3,10003a4180326
A105,2,10001a3180327
A105,3,10002c3180327
A105,1,10003c4180327
A105,2,10001c3180328
A105,4,10002b3180328
A105,5,10003c4180328
A105,1,10001c3180329
A105,1,10002a3180329
A105,2,10003b4180329
A105,2,10001b3180330
A105,2,10002c3180330
A105,3,10003a4180330
A105,6,10001a3180331
A105,3,10002b3180331
A105,2,10003c1180331
A105,5,10001b1180401
A105,1,10002a2180401
A105,3,10003a3180401
A105,5,10001a1180402
A105,3,10002b2180402
A105,3,10003a4180402
A105,2,10001a1180403
A105,9,10002c2180403
A105,5,10003c4180403
